Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Remove CSAR,10813,7,5,1065,20.90,0.000%,.04172,0.02,0.00,548.0
Add CSAR script,10813,7,5,2026,24.81,0.000%,.04172,0.02,0.00,473.0
Healthcheck,10813,1,0,86,1.48,0.000%,.04172,0.01,0.01,227.0
Statistics,10813,1,0,93,2.96,0.000%,.04172,0.01,0.01,323.9
CheckPDPGroupQuery,10813,246,33,7297,207.07,0.000%,.04172,0.11,0.01,2814.0
Check Policy Deployed,10813,20,12,255,4.79,0.000%,.04172,0.02,0.01,461.0
Undeploy Policy ,10813,357,195,7267,206.26,0.000%,.04172,0.01,0.01,260.0
Delete Policy,10813,394,204,7176,203.89,0.000%,.04172,5.40,0.02,132538.0
CheckPDPGroupQueryForDeletedPolicy,10812,230,17,5243,179.75,0.000%,.04172,0.11,0.01,2756.0
TOTAL,97316,140,0,7297,205.30,0.000%,.37545,5.72,0.08,15600.2
