Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Remove CSAR,198,4,4,5,5,11,3,13,0.000%,.01380,0.00,0.00
Add CSAR script,198,16,16,18,20,22,14,23,0.000%,.01380,0.00,0.00
Healthcheck,71655,1,1,2,2,2,0,205,0.000%,4.97617,1.10,1.14
Statistics,71652,0,1,1,1,2,0,85,0.000%,4.97609,1.57,1.14
Check Policy Deployed,198,21,20,23,25,31,16,205,0.000%,.01380,0.03,0.00
CheckPDPGroupQuery,198,234,193,350,524,915,27,1034,0.000%,.01381,0.05,0.00
Undeploy/Delete Policies,197,12340,12155,14027,14343,15618,10402,16007,0.000%,.01379,17.94,0.00
CheckPDPGroupQueryForDeletedPolicy,197,185,161,256,328,584,109,734,0.000%,.01380,0.04,0.00
TOTAL,144493,18,1,2,2,3,0,16007,0.000%,10.03406,20.59,2.29
